x	w
0.000000000000000000000	0.564100308726417532853
0.565069583255575748526	0.412028687498898627026
0.113611558521092066632e1	0.158488915795935746884	
0.171999257518648893242e1	0.307800338725460822287e-1
0.232573248617385774545e1	0.277806884291277589608e-2
0.296716692790560324849e1	0.100004441232499868127e-3
0.366995037340445253473e1	0.105911554771106663578e-5
0.449999070730939155366e1	0.152247580425351702016e-8
-0.565069583255575748526	0.412028687498898627026
-0.113611558521092066632e1	0.158488915795935746884	
-0.171999257518648893242e1	0.307800338725460822287e-1
-0.232573248617385774545e1	0.277806884291277589608e-2
-0.296716692790560324849e1	0.100004441232499868127e-3
-0.366995037340445253473e1	0.105911554771106663578e-5
-0.449999070730939155366e1	0.152247580425351702016e-8
